Song Name,Blues,Classical,Country,Electronic,Hip-Hop,Jazz,Metal,Pop,Reggae,Rock
'Til You Can't _by_ Cody Johnson,1.3165307,-3.3657408,8.828217,1.9253441,1.589257,0.23345202,2.4941816,1.2477843,-0.1507488,2.3252068
5 Leaf Clover _by_ Luke Combs,1.3888195,-2.8837812,8.7346115,0.38440138,0.69512427,2.181379,0.3512802,0.8311395,-0.27435702,1.7471826
AA _by_ Walker Hayes,-1.1998414,-7.689615,12.124605,5.145788,4.9118147,-3.1393747,5.834056,5.3371506,1.441618,2.6102195
Ain’t That Some _by_ Morgan Wallen,1.9057782,-5.3681393,8.490355,3.111413,3.1519387,0.76661175,3.9485798,2.583157,-1.1196965,1.9027234
All-American Girl _by_ Carrie Underwood,2.7966337,-0.09638562,12.558581,-2.4869738,-3.658175,-0.52997094,4.100987,-2.560088,-0.94535726,2.8377855
Automatic _by_ Miranda Lambert,2.6263618,-2.2355747,9.108426,-2.391347,-2.7540596,-1.2618448,4.396535,-2.0543523,-1.2229044,4.065698
Be Like That - feat. Swae Lee & Khalid _by_ Kane Brown,-1.5946125,-6.9379926,16.386229,6.1065464,9.930765,-1.1473018,2.4096107,8.948648,4.5912733,-1.2230674
Beautiful Crazy _by_ Luke Combs,2.8492677,-2.4522123,12.393213,2.8180091,2.9439578,1.3332952,2.9966216,6.264061,-2.212757,-3.1569839
Beer Never Broke My Heart _by_ Luke Combs,-0.6507703,-6.7674236,6.920886,2.1882195,0.50534993,0.96952826,4.06794,6.36654,2.0339038,0.24993189
Before He Cheats _by_ Carrie Underwood,3.299586,-0.9118997,11.560158,0.3999148,-2.5867949,0.65815693,3.105318,-0.97163993,-1.5924438,2.747822
Big Green Tractor _by_ Jason Aldean,3.297954,0.47272858,9.45119,-3.058115,-2.580608,3.1517994,-1.3532687,-3.0287194,-1.832922,2.5721376
Blown Away _by_ Carrie Underwood,1.0829742,-2.8392684,10.779511,2.7890913,0.6417982,-0.5025105,3.0118878,2.3834648,-0.2092659,0.32700187
Bluebird _by_ Miranda Lambert,1.5330467,-6.504851,12.121935,2.82768,2.775162,-1.3309895,1.6263704,5.464319,2.2367375,3.051543
Build a Boat (feat. Gabby Barrett) _by_ Colton Dixon,-0.38601416,-7.1897693,17.148172,8.292478,8.804601,-2.1893706,4.621792,9.647624,-2.0916123,-0.48613352
"Burn, Burn, Burn _by_ Zach Bryan",-0.09688706,-4.932027,16.228926,5.0769734,10.346466,1.0977691,4.739093,5.1319094,5.1973763,-0.17235772
Burnin' It Down _by_ Jason Aldean,1.7786062,-2.554961,9.624616,2.2397802,3.3912916,-0.4834556,2.7555666,1.2888933,-1.5966398,1.6434051
Bury Me in Georgia - Single Edit _by_ Kane Brown,1.8351101,-2.209865,8.423522,-1.3831396,-2.5228348,-1.4902823,5.1426926,-1.1102958,-1.3994591,4.708777
Church Bells _by_ Carrie Underwood,-0.4759614,-5.0395317,14.657484,5.943262,5.5159807,-1.2232139,6.3017883,7.3834414,-2.6083224,0.0044546816
Condemned _by_ Zach Bryan,0.91533667,0.7758759,14.702787,-4.5567107,6.5875006,4.6014347,-0.5368496,-1.3115159,7.6748214,3.5582762
Cowboy Casanova _by_ Carrie Underwood,1.183222,-3.3668902,11.902544,0.8443553,-0.22354406,-0.098113485,4.8241096,1.2341504,-1.3586346,1.4169223
Dance Her Home _by_ Cody Johnson,-0.111080594,-3.7307746,13.463959,3.1591926,4.561758,0.36527961,3.4194238,5.9205537,-1.3617725,-1.6388685
Dawns (feat. Maggie Rogers) _by_ Zach Bryan,2.8295848,-0.4468483,7.274809,-1.5615562,-2.2337403,0.8440208,0.47286624,0.96811956,-0.44219577,2.095516
Dear Rodeo _by_ Cody Johnson,1.9643598,-0.8277751,7.967821,-2.8424435,-0.7175099,0.3685624,3.2299657,-0.6075721,-1.0471702,0.7312768
Diamond In My Pocket _by_ Cody Johnson,1.8453963,-2.1710908,9.817714,1.5189834,0.44708985,1.4804965,1.1542578,0.85530263,-0.91898686,1.4583398
Dirt Road Anthem _by_ Jason Aldean,2.7358096,-3.893821,10.2307415,-0.8850493,0.6976084,-1.2678537,4.0000215,-0.45726952,-2.2552204,5.5656514
Drunk (And I Don't Wanna Go Home) _by_ Elle King,0.33584243,-6.4914846,14.063305,3.5054226,6.9323893,-1.1384197,5.962429,5.0264325,-1.929605,1.5652505
Everything I Love _by_ Morgan Wallen,2.647237,-3.2402022,6.8266664,0.39625686,-1.851626,-0.5125124,3.7650576,-1.7492613,0.67993444,5.989436
Famous Friends _by_ Chris Young,2.1669364,-3.918949,11.296576,1.8331275,-1.9037204,-0.7056369,4.736187,1.2930294,-0.5067561,4.253704
Fancy Like (feat. Kesha) _by_ Walker Hayes,0.95933765,-4.3622155,8.449848,1.1639094,3.1440077,1.9735388,0.85267735,1.0896636,0.7937011,0.3889218
Fancy Like _by_ Walker Hayes,0.80315703,-4.2672563,8.532032,1.5039039,2.964417,1.2143626,0.39619237,2.243109,1.072685,0.30822426
Fast Car _by_ Luke Combs,3.3388462,-4.49297,9.783778,1.972117,1.7321647,-0.6602234,2.890581,2.016244,-1.1224246,2.5213065
Footprints On The Moon _by_ Gabby Barrett,1.090236,-4.511413,9.510594,0.20037109,0.06483573,0.2445826,4.746872,1.4732131,-0.44746035,2.8370545
Forever After All _by_ Luke Combs,2.85862,-2.5065622,8.29217,-0.08845681,-1.4222494,0.6154329,1.6220257,-0.32139203,-0.98719054,2.6904848
From Austin _by_ Zach Bryan,1.8920877,-2.7294424,8.271077,-0.6378235,-0.50776565,0.634085,2.1056182,0.88424915,-0.52105445,2.826135
"Going, Going, Gone _by_ Luke Combs",1.472636,-2.8557463,10.164764,1.0681927,1.1731657,0.9355437,1.0626236,2.1162248,-0.5559522,0.26996976
Got Me (feat. Shane & Shane) _by_ Gabby Barrett,1.2069067,-3.2950523,8.703769,0.28601986,0.2447229,1.3390185,1.2383654,1.3216988,-1.3327583,1.6012306
Got What I Got _by_ Jason Aldean,3.6256137,-4.078187,10.526356,1.1532464,-0.61879706,0.8245149,2.740628,2.829243,-0.0024346795,1.2871534
Gunpowder & Lead _by_ Miranda Lambert,4.658441,-0.47752205,9.2392645,-2.5455327,-4.8548956,0.7427599,4.5919437,-3.9648182,-2.029008,5.1753016
Hate My Heart _by_ Carrie Underwood,2.5021636,-3.6334822,10.50359,0.025142848,-1.6153584,-0.9340418,5.3575926,-0.50085324,-1.592847,4.4211645
Heading South _by_ Zach Bryan,4.3589354,-1.5900441,11.066285,-2.4988055,4.8663793,2.515201,-0.44677526,2.6627622,4.2741323,-0.66748923
Heaven _by_ Kane Brown,1.4771876,-3.9764352,10.554069,1.11687,2.2898223,0.95341355,1.222738,1.1914706,-0.27163595,1.1683239
Heavy Eyes _by_ Zach Bryan,1.9510913,-4.641856,9.761651,1.5187216,-0.7036833,0.23712546,3.4182935,1.8525208,-0.7319247,3.6739626
High Heels - Party Down Under - Sam Feldt vs. Flo Rida _by_ Flo Rid,1.74472,-4.3804345,11.323734,1.8768356,5.721877,2.6953418,0.22704946,0.897067,3.460007,-2.633227
High Heels - Whistle While You Twerk _by_ Flo Rid,0.008963877,-7.0069184,15.350046,6.310815,7.186069,-0.048434798,1.2656221,7.800756,1.5552361,-3.0228968
High Heels _by_ Flo Rid,0.060192518,-6.3472285,10.617676,3.235664,5.030049,0.78255445,4.959826,3.7819085,-0.65676063,0.8259471
